trade_num,date,league,format,bet_team,opponent,model_prob,market_open,edge,cost,entry_price,fillable_est,stake,result,pnl,bankroll_after,clv,prematch_close,beat_close,market_volume,winner
74,2026-04-07,lfl,bo1,Karmine Corp Blue,Joblife,0.62,0.5,0.12,0.04,0.54,300.0,24.93,WIN,21.24,1267.97,0.12,0.62,Y,27437.0,Karmine Corp Blue
75,2026-04-07,lfl,bo1,Galions,Ici Japon Corp. Esport,0.89,0.5,0.39,0.03,0.53,500.0,25.36,LOSS,-25.36,1242.61,0.01,0.51,Y,127936.0,Ici Japon Corp. Esport
76,2026-04-07,lfl,bo1,Karmine Corp Blue,Esprit Shōnen,0.623,0.5,0.123,0.03,0.53,500.0,24.85,WIN,22.04,1264.65,0.235,0.735,Y,81114.0,Karmine Corp Blue
77,2026-04-07,lfl,bo1,Solary,Joblife,0.805,0.5,0.305,0.03,0.53,500.0,25.29,WIN,22.43,1287.08,0.255,0.755,Y,50582.0,Solary
78,2026-04-07,lfl,bo1,Galions,Vitality.Bee,0.905,0.5,0.405,0.03,0.53,500.0,25.74,LOSS,-25.74,1261.34,0.095,0.595,Y,236240.0,Vitality.Bee
79,2026-04-10,lck challengers,bo3,Kiwoom DRX Challengers,Gen.G Global Academy,0.843,0.5,0.343,0.03,0.53,500.0,25.23,LOSS,-25.23,1236.11,-0.24,0.26,N,252860.0,Gen.G Global Academy
80,2026-04-10,lck challengers,bo3,KT Rolster Challengers,HANJIN BRION Challengers,0.75,0.495,0.255,0.03,0.525,500.0,24.72,WIN,22.37,1258.48,0.39,0.885,Y,128457.0,KT Rolster Challengers
81,2026-04-10,lck challengers,bo3,Nongshim Esports Academy,Hanwha Life Esports Challengers,0.774,0.505,0.269,0.03,0.535,500.0,25.17,LOSS,-25.17,1233.31,-0.12,0.385,N,57664.0,Hanwha Life Esports Challengers
82,2026-04-10,lck challengers,bo3,Dplus Kia Challengers,BNK FEARX Youth,0.647,0.5,0.147,0.03,0.53,500.0,24.67,WIN,21.88,1255.19,-0.08,0.42,N,332490.0,Dplus KIA Challengers
83,2026-04-10,lck challengers,bo3,Nongshim Esports Academy,KT Rolster Challengers,0.605,0.5,0.105,0.03,0.53,500.0,25.1,WIN,22.26,1277.45,-0.205,0.295,N,162602.0,Nongshim Esports Academy
84,2026-04-10,lck challengers,bo3,Hanwha Life Esports Challengers,Gen.G Global Academy,0.674,0.505,0.169,0.03,0.535,500.0,25.55,LOSS,-25.55,1251.9,-0.25,0.255,N,93541.0,Gen.G Global Academy
85,2026-04-10,lck challengers,bo3,Kiwoom DRX Challengers,DN SOOPers Challengers,0.729,0.505,0.224,0.04,0.545,300.0,25.04,LOSS,-25.04,1226.86,-0.315,0.19,N,43994.0,DN SOOPers Challengers
86,2026-04-11,north american challengers,bo3,Supernova,Winthrop University,0.604,0.5,0.104,0.05,0.55,150.0,24.54,WIN,20.08,1246.94,0.205,0.705,Y,8677.0,Supernova
87,2026-04-11,north american challengers,bo3,Conviction,Apex Mission Impossible,0.833,0.5,0.333,0.04,0.54,300.0,24.94,WIN,21.25,1268.19,0.33,0.83,Y,17566.0,Conviction
88,2026-04-11,north american challengers,bo3,CCG Esports,Blue Otter,0.684,0.5,0.184,0.04,0.54,300.0,25.36,WIN,21.6,1289.79,0.17,0.67,Y,28831.0,CCG Esports
89,2026-04-11,north american challengers,bo3,Maryville University,Citadel Gaming,0.695,0.5,0.195,0.04,0.54,300.0,25.8,WIN,21.98,1311.77,0.395,0.895,Y,17354.0,Maryville University
90,2026-04-12,road of legends,bo3,UniQ Esports Club,mCon esports,0.601,0.5,0.101,0.05,0.55,150.0,26.24,WIN,21.47,1333.24,0.33,0.83,Y,9179.0,Senshi Esports Club
91,2026-04-13,lfl,bo1,Ici Japon Corp. Esport,Joblife,0.552,0.45,0.102,0.04,0.49,300.0,26.66,LOSS,-26.66,1306.58,-0.33,0.12,N,34382.0,Joblife
92,2026-04-13,lfl,bo1,Solary,Karmine Corp Blue,0.689,0.5,0.189,0.03,0.53,500.0,26.13,WIN,23.17,1329.75,0.325,0.825,Y,148689.0,Solary
93,2026-04-13,lfl,bo1,Vitality.Bee,Joblife,0.682,0.5,0.182,0.03,0.53,500.0,26.59,WIN,23.58,1353.33,0.195,0.695,Y,79751.0,Vitality.Bee
94,2026-04-13,lfl,bo1,Galions,TLN Pirates,0.75,0.5,0.25,0.03,0.53,500.0,27.07,LOSS,-27.07,1326.26,0.105,0.605,Y,98354.0,TLN Pirates
95,2026-04-13,lfl,bo1,Karmine Corp Blue,Ici Japon Corp. Esport,0.675,0.5,0.175,0.03,0.53,500.0,26.53,LOSS,-26.53,1299.73,-0.39,0.11,N,117292.0,Ici Japon Corp. Esport
96,2026-04-13,lfl,bo1,ZYB Esport,Joblife,0.639,0.5,0.139,0.03,0.53,500.0,25.99,LOSS,-25.99,1273.74,-0.175,0.325,N,95260.0,Joblife
97,2026-04-16,lck challengers,bo3,Nongshim Esports Academy,Gen.G Global Academy,0.72,0.5,0.22,0.03,0.53,500.0,25.47,WIN,22.59,1296.33,0.39,0.89,Y,271828.0,Nongshim Esports Academy
98,2026-04-16,lck challengers,bo3,KT Rolster Challengers,BNK FEARX Youth,0.688,0.5,0.188,0.03,0.53,500.0,25.93,WIN,22.99,1319.32,0.035,0.535,Y,269830.0,KT Rolster Challengers
99,2026-04-16,lck challengers,bo3,Hanwha Life Esports Challengers,DN SOOPers Challengers,0.676,0.5,0.176,0.03,0.53,500.0,26.39,LOSS,-26.39,1292.93,-0.235,0.265,N,493389.0,DN SOOPers Challengers
100,2026-04-16,lck challengers,bo3,Kiwoom DRX Challengers,HANJIN BRION Challengers,0.723,0.5,0.223,0.03,0.53,500.0,25.86,WIN,22.93,1315.86,0.395,0.895,Y,72809.0,Kiwoom DRX Challengers
101,2026-04-16,lck challengers,bo3,Hanwha Life Esports Challengers,Dplus Kia Challengers,0.631,0.505,0.126,0.03,0.535,500.0,26.32,LOSS,-26.32,1289.54,-0.355,0.15,N,242159.0,Dplus KIA Challengers
102,2026-04-16,lck challengers,bo3,KT Rolster Challengers,Gen.G Global Academy,0.678,0.505,0.173,0.03,0.535,500.0,25.79,WIN,22.42,1311.96,0.375,0.88,Y,70196.0,KT Rolster Challengers
103,2026-04-16,lck challengers,bo3,Nongshim Esports Academy,DN SOOPers Challengers,0.674,0.505,0.169,0.03,0.535,500.0,26.24,WIN,22.81,1334.77,-0.055,0.45,N,211283.0,Nongshim Esports Academy
104,2026-04-18,north american challengers,bo3,Conviction,Winthrop University,0.792,0.5,0.292,0.05,0.55,150.0,26.7,LOSS,-26.7,1308.07,-0.045,0.455,N,8667.0,Winthrop University
105,2026-04-18,north american challengers,bo3,Blue Otter,Apex Mission Impossible,0.653,0.5,0.153,0.04,0.54,300.0,26.16,LOSS,-26.16,1281.91,0.395,0.895,Y,34821.0,Apex Mission Impossible
106,2026-04-18,north american challengers,bo3,Conviction,Supernova,0.609,0.5,0.109,0.05,0.55,150.0,25.64,LOSS,-25.64,1256.27,-0.345,0.155,N,12844.0,Supernova
107,2026-04-18,north american challengers,bo3,Dorado Gaming,Apex Mission Impossible,0.739,0.5,0.239,0.04,0.54,300.0,25.13,WIN,21.41,1277.68,0.365,0.865,Y,48154.0,Dorado Gaming
108,2026-04-18,tcl,bo3,Bushido Wildcats,BoostGate Esports,0.666,0.505,0.161,0.03,0.535,500.0,25.55,LOSS,-25.55,1252.13,0.15,0.655,Y,82989.0,BoostGate Esports
109,2026-04-20,lfl,bo1,Solary,Ici Japon Corp. Esport,0.867,0.5,0.367,0.03,0.53,500.0,25.04,WIN,22.21,1274.34,0.255,0.755,Y,109762.0,Solary
110,2026-04-20,lfl,bo1,Galions,Joblife,0.812,0.5,0.312,0.03,0.53,500.0,25.49,WIN,22.6,1296.94,0.25,0.75,Y,59506.0,Galions
